Points,K,MultEps,MinPts,Nodes,S1-Parsing,S2-Kd-tree,S3-Up max angles,S3.5-AllGather angles,S4-EPS&other,S5-DBSCAN,S6-Border-tree,S7-Core points,S7.5-AlltoAll,S8-File print/Total Time,NumberClusters,CPUinfo
52072,5,1.30,7,4,0.0325,0.1226,4.5789,8.1132,8.1154,28.0830,28.0975,29.2860,31.7344,31.7864,10,Intel(R) Xeon(R) Gold 5220 CPU @ 2.20GHz
52072,5,1.30,7,4,0.0238,0.1206,4.9051,8.2246,8.2269,30.0989,30.1141,31.3858,32.0323,32.0852,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0336,0.1339,4.9764,8.2659,8.2681,29.9833,29.9986,31.2959,32.1103,32.1766,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0683,0.1653,4.9304,7.6441,7.6577,29.2842,29.2998,30.5611,30.5619,30.6656,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,4,0.0224,0.1205,4.9818,8.2774,8.2797,30.3044,30.3197,31.6140,32.1924,32.2278,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0235,0.1217,4.8691,8.3110,8.3132,30.0560,30.0710,31.3308,32.4325,32.4850,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0325,0.1302,4.9820,8.3232,8.3254,30.2815,30.2967,31.5858,32.4423,32.5231,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0184,0.1131,0.8363,2.3812,2.3835,24.0840,24.0987,24.2777,26.3064,26.4176,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0192,0.1126,0.8189,2.2987,2.3012,23.4535,23.4687,23.6437,26.0924,26.1678,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0181,0.1156,0.8485,2.3809,2.3837,24.0733,24.0888,24.2723,26.5060,26.5594,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0196,0.1154,0.8304,2.3363,2.3389,23.4467,23.4620,23.6421,26.1403,26.1974,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0178,0.1126,0.8356,2.3439,2.3462,24.0332,24.0482,24.2275,26.2919,26.3373,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0188,0.1125,0.8174,2.3316,2.3342,23.3843,23.3986,23.5723,26.1338,26.2200,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0381,0.1329,0.8553,2.3872,2.3896,24.1355,24.1505,24.3320,26.5661,26.6261,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0193,0.1149,0.8311,2.3187,2.3212,23.4211,23.4367,23.6153,26.0284,26.0778,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0432,0.1104,0.5007,1.3302,1.3341,16.1936,16.2047,16.3055,16.5661,16.8197,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,16,0.0177,0.1148,0.8504,2.3354,2.3380,24.1955,24.2100,24.3878,26.3135,26.3665,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0187,0.1142,0.8304,2.3376,2.3401,23.3697,23.3840,23.5596,25.9362,25.9864,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0178,0.1129,0.8356,2.3824,2.3848,23.9407,23.9557,24.1375,26.5117,26.5714,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0392,0.1328,0.8412,2.3551,2.3576,23.4825,23.4975,23.6727,26.0238,26.1235,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0281,0.1250,0.8622,2.3491,2.3518,24.0496,24.0645,24.2460,26.2290,26.2779,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0192,0.1129,0.8188,2.3224,2.3250,23.3888,23.4033,23.5770,26.0611,26.1484,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0177,0.1151,0.8492,2.3782,2.3806,24.2916,24.3068,24.4902,26.5134,26.5950,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0392,0.1350,0.8500,2.3528,2.3554,23.4496,23.4648,23.6440,26.2132,26.2646,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,16,0.0416,0.1106,0.5070,1.3095,1.3118,16.1715,16.1828,16.2868,16.4377,16.8003,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,16,0.0182,0.1132,0.8358,2.3627,2.3654,24.0626,24.0772,24.2559,26.4405,26.4874,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0184,0.1156,0.8505,2.3507,2.3530,24.0264,24.0417,24.2250,26.4876,26.5942,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0500,0.1504,0.8898,2.3775,2.3799,24.4090,24.4248,24.6143,26.5040,26.7350,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0196,0.1167,0.8508,2.3656,2.3679,24.0398,24.0546,24.2351,26.4291,26.4848,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0394,0.1414,0.8787,2.3853,2.3884,24.2421,24.2569,24.4402,26.4782,26.5894,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0177,0.1150,0.8497,2.3683,2.3707,24.2755,24.2919,24.4779,26.4473,26.4982,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0531,0.1224,0.5184,1.3438,1.3469,16.2097,16.2206,16.3234,16.5757,16.9482,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,16,0.0184,0.1134,0.8363,2.3832,2.3856,23.9314,23.9460,24.1260,26.3548,26.4902,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0297,0.1272,0.8563,2.3877,2.3902,24.3647,24.3799,24.5616,26.4955,26.6077,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0288,0.1266,0.8595,2.3897,2.3921,24.0886,24.1040,24.2890,26.4962,26.7163,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,32,0.0373,0.1344,0.4846,1.4052,1.4077,23.0800,23.0948,23.1817,26.3104,26.6532,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,16,0.0645,0.1332,0.5315,1.3505,1.3523,16.2083,16.2196,16.3232,16.5949,16.9901,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,32,0.0275,0.1223,0.4683,1.3884,1.3908,23.1372,23.1523,23.2382,26.3595,26.4523,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,32,0.0885,0.1579,0.3447,0.8322,0.8341,15.7025,15.7137,15.7620,16.0127,16.4500,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,32,0.0591,0.1273,0.3196,0.8020,0.8062,15.6483,15.6595,15.7088,15.7758,16.3563,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,32,0.0594,0.1272,0.3178,0.7919,0.7957,15.6623,15.6733,15.7207,15.8940,16.3244,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,32,0.0578,0.1266,0.3153,0.7876,0.7923,15.6303,15.6414,15.6913,15.9464,16.4980,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,32,0.0881,0.1574,0.3467,0.8262,0.8299,15.6900,15.7011,15.7508,16.0121,16.6287,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,32,0.0586,0.1261,0.3147,0.7970,0.7994,15.6572,15.6682,15.7162,15.9784,16.4783,10,Intel(R) Xeon(R) Gold 6418H
212250,5,1.30,7,1,0.1546,0.4895,92.5520,92.5621,92.5675,340.7440,340.7976,362.1061,362.1094,362.3923,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.30,7,4,0.0615,0.5618,27.5369,49.1904,49.1992,410.6808,410.7587,416.6102,422.0762,422.1696,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,8,0.1184,0.6137,12.5505,26.0401,26.0492,386.8634,386.9413,389.5460,426.8902,427.0223,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,4,0.1082,0.6054,26.9149,50.9876,51.0176,409.0094,409.0868,414.7963,439.7390,439.8661,35,Intel(R) Xeon(R) Gold 6154 CPU @ 3.00GHz
212250,5,1.30,7,2,0.0708,0.5687,67.0876,88.2766,88.2859,445.6544,445.7318,461.4814,469.0581,469.6923,35,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
212250,5,1.30,7,2,0.0537,0.5560,68.9151,89.4658,89.4749,450.7642,450.8425,466.9376,474.8545,475.7679,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,1,0.0331,0.5048,147.2323,147.2477,147.2558,485.0987,485.1723,522.2536,522.2601,522.5354,35,Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz
212250,5,1.30,7,16,0.0621,0.5581,5.1261,14.2569,14.2664,375.2135,375.2916,376.2393,527.7248,527.9389,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,1,0.0490,0.5495,154.0582,154.0753,154.0837,514.3289,514.4052,553.2117,553.2172,553.6742,35,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
212250,5,1.30,7,1,0.0087,0.3467,92.2480,92.2573,92.2627,340.4391,340.4928,362.0272,362.0308,362.3230,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.30,7,1,0.0249,0.7126,199.2810,199.3078,199.3186,671.9166,672.0252,725.0201,725.0286,725.4970,35,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
212250,5,1.30,7,8,0.1095,0.6058,12.4578,26.0718,26.0810,386.9290,387.0071,389.6162,424.3921,424.5718,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,4,0.0782,0.5716,26.8564,50.9934,51.0262,405.3876,405.4650,411.1696,442.4120,442.5019,35,Intel(R) Xeon(R) Gold 6154 CPU @ 3.00GHz
212250,5,1.30,7,2,0.0402,0.5376,69.0567,89.7927,89.8025,451.0844,451.1633,467.2969,474.5291,475.1914,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,2,0.0720,0.5748,68.7041,89.7235,89.7324,451.3394,451.4175,467.4949,474.0724,474.6918,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,2,0.0721,0.5683,67.0343,88.0874,88.0967,447.3494,447.4267,463.0824,467.6157,468.2890,35,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
212250,5,1.30,7,4,0.0913,0.5910,27.0538,48.7154,48.7296,407.1392,407.2169,412.9474,419.1974,419.3146,35,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
212250,5,1.30,7,16,0.0618,0.5611,5.1289,14.2450,14.2546,374.8577,374.9355,375.8849,528.9769,529.1411,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,8,0.1322,0.4699,7.0483,15.6453,15.6515,265.8693,265.9232,267.3546,272.6204,273.0258,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.30,7,4,0.0498,0.5532,27.5896,49.3922,49.4012,411.6444,411.7234,417.5927,423.1497,423.3054,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.30,7,8,0.0984,0.5970,12.4976,25.4772,25.4862,387.3743,387.4519,390.0603,421.8242,421.8925,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
